Customer ID,Customer Name,First_Name,Gender,Segment,Country,City,State,Region,Product ID
BM-11575,Brendan Murry,Brendan,Male,Corporate,United States,Gaithersburg,Maryland,East,OFF-AR-10000658
LR-16915,Lena Radford,Lena,Female,Consumer,United States,Los Angeles,California,West,OFF-AR-10003394
CA-12310,Christine Abelman,Christine,Female,Corporate,United States,San Antonio,Texas,Central,OFF-AP-10000692
BO-11350,Bill Overfelt,Bill,Male,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-AR-10004441
EB-13975,Erica Bern,Erica,Female,Corporate,United States,Charlotte,North Carolina,South,OFF-BI-10000474
BP-11185,Ben Peterman,Ben,Male,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-PH-10002834
AJ-10795,Anthony Johnson,Anthony,Male,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10004269
DW-13480,Dianna Wilson,Dianna,Female,Home Office,United States,Oakland,California,West,OFF-BI-10003350
NM-18520,Neoma Murray,Neoma,Female,Consumer,United States,Amarillo,Texas,Central,TEC-PH-10002200
JO-15145,Jack O'Briant,Jack,Male,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10001619
VS-21820,Vivek Sundaresam,Vivek,Male,Consumer,United States,Raleigh,North Carolina,South,TEC-PH-10002415
LA-16780,Laura Armstrong,Laura,Female,Corporate,United States,Fresno,California,West,TEC-AC-10004659
MF-17665,Maureen Fritzler,Maureen,Female,Corporate,United States,Toledo,Ohio,East,OFF-SU-10004115
KB-16585,Ken Black,Ken,Male,Corporate,United States,Seattle,Washington,West,OFF-ST-10001780
JB-16000,Joy Bell-,Joy,Female,Consumer,United States,Longview,Washington,West,TEC-AC-10003433
DE-13255,Deanra Eno,Deanra,Female,Home Office,United States,Springfield,Ohio,East,OFF-PA-10001950
MP-17470,Mark Packer,Mark,Male,Home Office,United States,Columbus,Ohio,East,TEC-MA-10003183
AG-10675,Anna Gayman,Anna,Female,Consumer,United States,Concord,North Carolina,South,TEC-AC-10002049
Dp-13240,Dean percer,Dean,Male,Home Office,United States,Westfield,New Jersey,East,OFF-FA-10002763
RC-19825,Roy Collins,Roy,Male,Consumer,United States,Fairfield,Connecticut,East,FUR-CH-10002780
WB-21850,William Brown,William,Male,Consumer,United States,New York City,New York,East,FUR-TA-10000577
BE-11335,Bill Eplett,Bill,Male,Home Office,United States,New York City,New York,East,FUR-FU-10004864
EH-13945,Eric Hoffmann,Eric,Male,Consumer,United States,Los Angeles,California,West,OFF-PA-10001745
CC-12430,Chuck Clark,Chuck,Male,Home Office,United States,Concord,New Hampshire,East,OFF-BI-10003166
DL-13495,Dionis Lloyd,Dionis,Female,Corporate,United States,Columbus,Georgia,South,OFF-BI-10002954
TD-20995,Tamara Dahlen,Tamara,Female,Consumer,United States,San Diego,California,West,OFF-ST-10001526
PG-18895,Paul Gonzalez,Paul,Male,Consumer,United States,Morristown,New Jersey,East,OFF-AR-10001177
CM-11935,Carlos Meador,Carlos,Male,Consumer,United States,Fayetteville,North Carolina,South,OFF-AP-10002518
AJ-10795,Anthony Johnson,Anthony,Male,Corporate,United States,Seattle,Washington,West,TEC-AC-10003499
MC-17275,Marc Crier,Marc,Male,Consumer,United States,Seattle,Washington,West,TEC-AC-10001767
FP-14320,Frank Preis,Frank,Male,Consumer,United States,San Diego,California,West,OFF-PA-10001281
BT-11530,Bradley Talbott,Bradley,Male,Home Office,United States,Cleveland,Ohio,East,OFF-PA-10001667
TB-21280,Toby Braunhardt,Toby,Male,Consumer,United States,New York City,New York,East,FUR-CH-10001482
CB-12415,Christy Brittain,Christy,Female,Consumer,United States,Los Angeles,California,West,OFF-AR-10001022
CB-12535,Claudia Bergmann,Claudia,Female,Corporate,United States,Burlington,Vermont,East,OFF-LA-10004093
HG-14965,Henry Goldwyn,Henry,Male,Corporate,United States,Gulfport,Mississippi,South,TEC-PH-10004922
TB-21355,Todd Boyes,Todd,Male,Corporate,United States,Plainfield,New Jersey,East,FUR-TA-10001857
JD-15895,Jonathan Doherty,Jonathan,Male,Corporate,United States,New York City,New York,East,OFF-PA-10002137
HG-14965,Henry Goldwyn,Henry,Male,Corporate,United States,Los Angeles,California,West,FUR-TA-10002958
JF-15490,Jeremy Farry,Jeremy,Male,Consumer,United States,San Francisco,California,West,FUR-FU-10003535
SC-20725,Steven Cartwright,Steven,Male,Consumer,United States,San Francisco,California,West,OFF-BI-10000069
TB-21250,Tim Brockman,Tim,Male,Consumer,United States,Seattle,Washington,West,OFF-PA-10003739
HE-14800,Harold Engle,Harold,Male,Corporate,United States,Chicago,Illinois,Central,OFF-PA-10002230
DF-13135,David Flashing,David,Male,Consumer,United States,Rockford,Illinois,Central,TEC-AC-10002558
SC-20050,Sample Company A,Sample,Female,Home Office,United States,Los Angeles,California,West,OFF-ST-10000876
AB-10150,Aimee Bixby,Aimee,Female,Consumer,United States,Dallas,Texas,Central,OFF-EN-10004773
JK-15325,Jason Klamczynski,Jason,Male,Corporate,United States,Atlantic City,New Jersey,East,OFF-ST-10001172
BF-11170,Ben Ferrer,Ben,Male,Home Office,United States,Atlanta,Georgia,South,OFF-BI-10003364
CK-12760,Cyma Kinney,Cyma,Female,Corporate,United States,Arlington,Virginia,South,TEC-PH-10002844
SM-20950,Suzanne McNair,Suzanne,Female,Corporate,United States,Los Angeles,California,West,FUR-BO-10002268
AB-10105,Adrian Barton,Adrian,Male,Consumer,United States,New York City,New York,East,OFF-BI-10001071
SE-20110,Sanjit Engle,Sanjit,Female,Consumer,United States,Arlington,Virginia,South,OFF-PA-10002195
NS-18640,Noel Staavos,Noel,Male,Corporate,United States,Houston,Texas,Central,OFF-AR-10004752
LC-17050,Liz Carlisle,Liz,Female,Consumer,United States,Richmond,Kentucky,South,OFF-EN-10003160
TB-21520,Tracy Blumstein,Tracy,Female,Consumer,United States,Sierra Vista,Arizona,West,OFF-BI-10004593
MS-17365,Maribeth Schnelling,Maribeth,Female,Consumer,United States,Rockville,Maryland,East,FUR-FU-10000305
JB-15400,Jennifer Braxton,Jennifer,Female,Corporate,United States,Los Angeles,California,West,FUR-FU-10003096
PP-18955,Paul Prost,Paul,Male,Home Office,United States,Smyrna,Georgia,South,OFF-PA-10002947
